City,Country,Square
Стамбул,Турция,5461
Москва,Россия,2561
Лондон,Великобритания,1602
Саратов,Россия,1490
Санкт-Петербург,Россия,1439
Рим,Италия,1287
Берлин,Германия,891
Волгоград,Россия,859
Киев,Украина,836
Пермь,Россия,799
