Страна,Самый населенный город,Население,Население с агломерацией
Беларусь,Минск,2.0,2.0
Болгария,София,1.2,1.7
Венгрия,Будапешт,1.8,3.3
Молдова,Кишинев,0.5,0.7
Польша,Варшава,1.8,3.1
Румыния,Бухарест,1.8,2.4
Россия,Москва,12.7,17.0
Словакия,Братислава,0.4,0.7
Украина,Киев,3.0,3.5
Чехия,Прага,1.3,2.7
