Страна,Самый населенный город,Население,Население с агломерацией
Австрия,Вена,1.9,2.6
Бельгия,Брюссель,1.2,2.1
Великобритания,Лондон,9.0,14.4
Германия,Берлин,3.8,6.1
Ирландия,Дублин,1.2,1.9
Лихтенштейн,Вадуц,0.01,0.01
Люксембург,Люксембург,0.1,0.1
Монако,Монако,0.04,0.04
Нидерланды,Амстердам,0.9,2.5
Франция,Париж,2.1,11.1
Швейцария,Цюрих,0.4,1.4
