Страна,Самый населенный город,Население,Население с агломерацией
Дания,Копенгаген,0.8,1.3
Исландия,Рейкьявик,0.1,0.2
Латвия,Рига,0.6,1.0
Литва,Вильнюс,0.6,0.7
Норвегия,Осло,0.7,1.5
Финляндия,Хельсинки,0.7,1.3
Швеция,Стокгольм,1.0,2.4
Эстония,Таллин,0.4,0.4
