Страна,Победы,Игроки
Аргентина,8,1
Франция,7,5
ФРГ,5,3
Германия,2,2
Нидерланды,7,3
Португалия,7,3
Италия,5,5
Великобритания,7,6
Бразилия,5,4
Испания,4,3
СССР,3,3
Украина,1,1
Чехия,1,1
Чехословакия,1,1
Венгрия,1,1
Дания,1,1
Болгария,1,1
Либерия,1,1
Хорватия,1,1
