Год,Страна
1960,СССР
1964,Испания
1968,Италия
1972,Германия
1976,Чехословакия
1980,Германия
1984,Франция
1988,Нидерланды
1992,Дания
1996,Германия
2000,Франция
2004,Греция
2008,Испания
2012,Испания
2016,Португалия
2020,Италия
2024,Испания
