Год,Страна
1973,Новая Зеландия
1980,Австралия
1996,Австралия
1998,Новая Зеландия
2000,Австралия
2002,Новая Зеландия
2004,Австралия
2008,Новая Зеландия
2012,Таити
2016,Новая Зеландия
2024,Новая Зеландия
