Год,Страна
1963,Коста-Рика
1965,Мексика
1967,Гватемала
1969,Коста-Рика
1971,Мексика
1973,Гаити
1977,Мексика
1981,Гондурас
1985,Канада
1989,Коста-Рика
1991,США
1993,Мексика
1996,Мексика
1998,Мексика
2000,Канада
2002,США
2003,Мексика
2005,США
2007,США
2009,Мексика
2011,Мексика
2013,США
2015,Мексика
2017,США
2019,Мексика
2021,США
2023,Мексика
​
