Год,Страна
1956,Республика Корея
1960,Республика Корея
1964,Израиль
1968,Иран
1972,Иран
1976,Иран
1980,Кувейт
1984,Саудовская Аравия
1988,Саудовская Аравия
1992,Япония
1996,Саудовская Аравия
2000,Япония
2004,Япония
2007,Ирак
2011,Япония
2015,Австралия
2019,Катар
2023,Катар
