Год,Страна
1957,Египет
1959,Египет
1962,Эфиопия
1963,Гана
1965,Гана
1968,ДР Конго
1970,Судан
1972,Конго
1974,ДР Конго
1976,Марокко
1978,Гана
1980,Нигерия
1982,Гана
1984,Камерун
1986,Египет
1988,Камерун
1990,Алжир
1992,Кот-д'Ивуар
1994,Нигерия
1996,ЮАР
1998,Египет
2000,Камерун
2002,Камерун
2004,Тунис
2006,Египет
2008,Египет
2010,Египет
2012,Замбия
2013,Нигерия
2015,Кот-д'Ивуар
2017,Камерун
2019,Алжир
2021,Сенегал
2023,Кот-д'Ивуар
