Страна,Победы,Игроки
Португалия,8,3
Аргентина,7,2
Нидерланды,4,4
Уругвай,4,2
Великобритания,3,3
Болгария,3,3
Бразилия,3,2
Италия,3,3
Румыния,3,2
Австрия,2,2
Польша,2,1
Германия,2,1
Франция,2,1
Югославия,2,2
Бельгия,1,1
Греция,1,1
Кипр,1,1
Мексика,1,1
Норвегия,1,1
Турция,1,1
Швеция,1,1
