City,Lat,Lon
Париж,48.8566,2.3522
Милан,45.4642,9.1900
Рур,51.4508,7.0131
Мадрид,40.4168,-3.7038
Барселона,41.3851,2.1734
Лондон,51.5074,-0.1278
Рим,41.9028,12.4964
Стамбул,41.0082,28.9784
Берлин,52.5200,13.4050
Будапешт,47.4979,19.0402
Турин,45.0703,7.6869
Варшав,52.2297,21.0122
Белград,44.7866,20.4489
Вена,48.2082,16.3738
Гамбург,53.5511,9.9937
Киев,50.4501,30.5234
Минск,53.9045,27.5615
Мюнхен,48.1351,11.5820
Санкт-Петербург,59.9343,30.3351
Москва,55.7558,37.6173
