Год,Страна
1930,Уругвай
1934,Италия
1938,Франция
1950,Бразилия
1954,Швейцария
1958,Швеция
1962,Чили
1966,Англия
1970,Мексика
1974,ФРГ
1978,Аргентина
1982,Испания
1986,Мексика
1990,Италия
1994,США
1998,Франция
2002,Республика Корея
2002,Япония
2006,Германия
2010,ЮАР
2014,Бразилия
2018,Россия
2022,Катар
